08/30/17,Bought,ISHARES HIGH YIELD CORPORATE BOND ETF,SHYG,,ISHARES HIGH YIELD      CORPORAT BOND ETF,47.69,378,,-18026.82,18026.82,
08/30/17,Bought,Vanguard Tax-Exempt Bond Index ETF,VTEB,,VANGUARD MUNI BND TAX   EXEMPT ETF,51.98,1558,,-80984.84,80984.84,
08/31/17,Div,Invesco Senior Loan ETF,BKLN,_DivInc,POWERSHARES SENIOR LOAN ETF,,,,44.81,,44.81
08/31/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1811.74,,1811.74
08/31/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,0.06,,0.06
08/31/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.11,,0.11
08/31/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.01,,0.01
09/08/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG-TERM BOND ETF,,,,928.08,,928.08
09/08/17,Div,Vanguard Total International Bond Index ETF,BNDX,_DivInc,VANGUARD TOTAL          INTERNATIONAL BND ETF,,,,29.16,,29.16
09/08/17,Div,VanEck Vectors EM Local Currency Bond ETF,EMLC,_DivInc,VANECK VECTORS J P      MORGAN EMERGING MKTS LOCCURRENCY BD ETF,,,,114.67,,114.67
09/08/17,Div,SCH US TIPS ETF,SCHP,_DivInc,SCHWAB US TIPS ETF,,,,64.48,,64.48
09/08/17,Div,ISHARES HIGH YIELD CORPORATE BOND ETF,SHYG,_DivInc,ISHARES HIGH YIELD      CORPORAT BOND ETF,,,,179.39,,179.39
09/08/17,Div,Vanguard Tax-Exempt Bond Index ETF,VTEB,_DivIncTaxFree,VANGUARD MUNI BND TAX   EXEMPT ETF,,,,298.67,,298.67
09/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,32.28,,32.28
09/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,0.01,,0.01
09/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,8.6,,8.6
09/15/17,IntInc,-Cash-,,_IntInc,BANK INT 081617-091517,,,,14.16,,14.16
09/22/17,Div,SCHW US BRD MKT ETF,SCHB,_DivInc,SCHWAB US BROAD MARKET  ETF,,,,494.38,,494.38
09/22/17,Div,SCH US DIV EQUITY ETF,SCHD,_DivInc,SCHWAB US DIVIDEND      EQUITY ETF,,,,738.7,,738.7
09/22/17,Div,SCHW US LCAP GRO ETF,SCHG,_DivInc,SCHWAB US LARGE CAP     GROWTH ETF,,,,223.05,,223.05
09/22/17,Div,SCH US REIT ETF,SCHH,_DivInc,CHARLES SCHWAB US REIT  ETF,,,,38.05,,38.05
09/25/17,Div,SPDR PREFERRED STOCK ETF,PSK,_DivInc,SPDR WELLS FARGO        PREFERRED STOCK ETF,,,,173.13,,173.13
09/25/17,Bought,SCHW US BRD MKT ETF,SCHB,,Reinvest of SCHWAB US BROAD MARKET  ETF,60.28,8.2,,-494.38,494.38,
09/25/17,Div,Vanguard High Dividend Yield Index ETF,VYM,_DivInc,VANGUARD HIGH DIVIDEND  YIELD ETF,,,,1792.76,,1792.76
09/27/17,Div,SPDR S&P INTERNATIONAL  DIVIDEND ETF,DWX,_DivInc,SPDR S&P INTERNATIONAL  DIVIDEND ETF,,,,612.46,,612.46
09/29/17,Div,Invesco Senior Loan ETF,BKLN,_DivInc,POWERSHARES SENIOR LOAN ETF,,,,98.85,,98.85
09/29/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE US HIGH      DIVIDEND ETF,,,,739.2,,739.2
09/29/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE US LARGECAP  DIVIDEND ETF,,,,480.11,,480.11
09/29/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE US TOTAL     DIVIDEND ETF,,,,407.76,,407.76
09/29/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1780.31,,1780.31
09/29/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,0.06,,0.06
09/29/17,Div,ISHARES CORE US GROWTH ETF,IUSG,_DivInc,DIVIDEND RECEIVED,,,,58.49,,58.49
09/29/17,Div,ISHARES TR S&P 500/ VALUE INDEX ETF,IVE,_DivInc,DIVIDEND RECEIVED,,,,2419.22,,2419.22
09/29/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.21,,0.21
09/29/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.01,,0.01
10/05/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG-TERM BOND ETF,,,,900.09,,900.09
